Subject,Context,Name,Time (s),Description 
SCI_HCU,Left,Foot Strike,3.79212,Foot Strike
SCI_HCU,Left,Foot Strike,5.93879,Foot Strike
SCI_HCU,Left,Foot Strike,8.10242,Foot Strike
SCI_HCU,Left,Foot Strike,10.1218,Foot Strike
SCI_HCU,Left,Foot Strike,12.243,Foot Strike
SCI_HCU,Left,Foot Strike,14.2964,Foot Strike
SCI_HCU,Left,Foot Off,5.35333,Foot Off
SCI_HCU,Left,Foot Off,7.55091,Foot Off
SCI_HCU,Left,Foot Off,9.64667,Foot Off
SCI_HCU,Left,Foot Off,11.5388,Foot Off
SCI_HCU,Left,Foot Off,13.7109,Foot Off
SCI_HCU,Right,Foot Strike,2.61273,Foot Strike
SCI_HCU,Right,Foot Strike,4.84424,Foot Strike
SCI_HCU,Right,Foot Strike,6.95697,Foot Strike
SCI_HCU,Right,Foot Strike,9.0103,Foot Strike
SCI_HCU,Right,Foot Strike,11.1145,Foot Strike
SCI_HCU,Right,Foot Strike,13.2612,Foot Strike
SCI_HCU,Right,Foot Strike,15.3315,Foot Strike
SCI_HCU,Right,Foot Off,4.25879,Foot Off
SCI_HCU,Right,Foot Off,6.43091,Foot Off
SCI_HCU,Right,Foot Off,8.47576,Foot Off
SCI_HCU,Right,Foot Off,10.5291,Foot Off
SCI_HCU,Right,Foot Off,12.6418,Foot Off
SCI_HCU,Right,Foot Off,14.7121,Foot Off
